PubMedId	Entity	EntityType	NormalizedID	title/abs	Start	End 
16595633	synphilin-1A	Protein	Q9Y6H5	abs	821	833
16595633	synphilin-1A	Protein	Q9Y6H5	abs	922	934
16595633	Synphilin-1A	Protein	Q9Y6H5	abs	978	990
16595633	synphilin-1A	Protein	Q9Y6H5	abs	1237	1249
16874308	Bud32p	Protein	P53323	abs	493	499
16874308	Kae1p	Protein	P36132	abs	527	532
16874308	PCC1	Protein	Q3E833	abs	35	39
16874308	pcc1	Protein	Q3E833	abs	789	793
16874308	Pcc1p	Protein	Q3E833	abs	134	139
16874308	Pcc1p	Protein	Q3E833	abs	316	321
16874308	Pcc1p	Protein	Q3E833	abs	476	481
16874308	YMLO36w	Protein	Protein	abs	589	596
17726031	HIF-1alpha	Protein	Q16665	abs	868	878
17726031	HIF-1alpha	Protein	Q16665	abs	1006	1016
17921316	DnaJ	Protein	P08622	abs	616	620
18082604	FANCD2	Protein	Protein	abs	100	106
18082604	FANCD2	Protein	Protein	abs	508	514
18082604	USP1	Protein	Protein	abs	28	32
18082604	USP1	Protein	Protein	abs	201	205
18082604	USP1	Protein	Protein	abs	382	386
18082604	USP1	Protein	Protein	abs	590	594
18082604	USP1	Protein	Protein	abs	691	695
18082604	USP1	Protein	Protein	abs	817	821
18082604	USP1	Protein	Protein	abs	862	866
18082604	USP1	Protein	Protein	abs	984	988
18082604	USP1 associated factor 1	Protein	Protein	abs	322	346
15486337	brl1	Protein	Q9ZWC8	abs	650	654
15486337	brl1	Protein	Q9ZWC8	abs	769	773
15775980	DDM1	Protein	Q9XFH4	abs	1167	1171
20932478	leucine-rich repeats and WD40 repeat domain-containing protein 1	Protein	Q9UFC0	abs	338	402
20932478	LRWD1	Protein	Q9UFC0	abs	404	409
20071603	PKS1	Protein	Q9SWI1	abs	476	480
20071603	PKS1	Protein	Q9SWI1	abs	488	492
20071603	PKS1	Protein	Q9SWI1	abs	778	782
20071603	PKS1	Protein	Q9SWI1	abs	874	878
20071603	PKS1	Protein	Q9SWI1	abs	988	992
16731587	PIN3ox	Protein	Q9S7Z8	abs	467	473
16731587	PIN3ox	Protein	Q9S7Z8	abs	567	573
16731587	PIN3ox	Protein	Q9S7Z8	abs	988	994
16731587	PIN3ox	Protein	Q9S7Z8	abs	1188	1194
12023506	organic anion transporters 2 and 4	Protein	Q9NSA0, Q9Y694	title	21	55
12023506	hOAT4	Protein	Q9NSA0	abs	351	356
12023506	hOAT4	Protein	Q9NSA0	abs	945	950
12023506	hOAT4	Protein	Q9NSA0	abs	1168	1173
12023506	hOAT4	Protein	Q9NSA0	abs	1298	1303
12023506	hOAT4	Protein	Q9NSA0	abs	1565	1570
20071603	PHYTOCHROME KINASE SUBSTRATE2	Protein	Q9M9T4	title	16	45
20071603	pks2	Protein	Q9M9T4	abs	1348	1352
20071603	NONPHOTOTROPIC HYPOCOTYL3	Protein	Q9FMF5	abs	612	637
20071603	NPH3	Protein	Q9FMF5	abs	639	643
20071603	NPH3	Protein	Q9FMF5	abs	942	946
20071603	NPH3	Protein	Q9FMF5	abs	1004	1008
20071603	NPH3	Protein	Q9FMF5	abs	1255	1259
20071603	nph3	Protein	Q9FMF5	abs	1357	1361
20071603	NPH3	Protein	Q9FMF5	abs	1410	1414
14701804	mPIRH2	Protein	Q9CR50	abs	14	20
14701804	mpirh2	Protein	Q9CR50	abs	172	178
14701804	mPIRH2	Protein	Q9CR50	abs	236	242
14701804	mpirh2	Protein	Q9CR50	abs	329	335
14701804	PIRH2	Protein	Q9CR50	abs	7	12
14701804	hPIRH2	Protein	Q96PM5	abs	438	444
14701804	hPIRH2	Protein	Q96PM5	abs	526	532
14701804	hPIRH2	Protein	Q96PM5	abs	550	556
14701804	hPIRH2	Protein	Q96PM5	abs	649	655
14701804	hPIRH2	Protein	Q96PM5	abs	796	802
14701804	hPIRH2	Protein	Q96PM5	abs	841	847
14701804	hPIRH2	Protein	Q96PM5	abs	881	887
14701804	hPIRH2	Protein	Q96PM5	abs	930	936
14701804	hPIRH2	Protein	Q96PM5	abs	967	973
14701804	hPIRH2	Protein	Q96PM5	abs	1027	1033
14701804	PIRH2	Protein	Q96PM5	title	17	22
14701804	PIRH2	Protein	Q96PM5	abs	431	436
15775980	CMT3	Protein	Q94F88	abs	1181	1185
20634289	CPN1	Protein	Q941L3	abs	410	414
20634289	BAP1	Protein	Q941L2	abs	1003	1007
14701804	TIP60	Protein	Q92993	title	57	62
14701804	TIP60	Protein	Q92993	abs	451	456
14701804	TIP60	Protein	Q92993	abs	835	840
11564863	PCAF	Protein	Q92831	abs	273	277
11564863	DDB2	Protein	Q92466	abs	1318	1322
20124190	3-deoxy-D-manno-2-octulosonic acid (Kdo) transferase	Protein	Q8VZA5	title	31	83
20124190	AtkdtA	Protein	Q8VZA5	abs	1029	1035
20124190	Kdo transferase	Protein	Q8VZA5	abs	611	626
18088316	RBK2	Protein	Q8RXC8	abs	489	493
18088316	RBK2	Protein	Q8RXC8	abs	1446	1450
15143214	NFAM1	Protein	Q8R4V1	title	0	5
15143214	NFAM1	Protein	Q8R4V1	abs	280	285
15143214	NFAM1	Protein	Q8R4V1	abs	476	481
15143214	NFAM1	Protein	Q8R4V1	abs	617	622
15143214	NFAM1	Protein	Q8R4V1	abs	753	758
15143214	NFAM1	Protein	Q8R4V1	abs	823	828
15143214	NFAM1	Protein	Q8R4V1	abs	862	867
15143214	NFAM1	Protein	Q8R4V1	abs	954	959
15143214	NFAT activating molecule 1	Protein	Q8R4V1	abs	252	278
11481323	proline-, glutamic acid-, leucine-rich protein 1	Protein	Q8IZL8	abs	190	238
11564863	p48	Protein	Q8IUI8	abs	1324	1327
15606766	metalloprotease 1	Protein	Q5JRX3	abs	670	687
23543752	cytokinesis-specific syntaxin KNOLLE	Protein	Q42374	abs	892	928
23543752	KN	Protein	Q42374	abs	930	932
23543752	KN	Protein	Q42374	abs	955	957
23543752	KN	Protein	Q42374	abs	1191	1193
23543752	KNOLLE	Protein	Q42374	title	35	41
7689721	p76	Protein	Q3TCN2, Q8NHP8	abs	563	566
7689721	p76	Protein	Q3TCN2, Q8NHP8	abs	878	881
21282530	Sce	Protein	Q24338	abs	445	448
21282530	Sex combs extra	Protein	Q24338	abs	428	443
11564863	DDB1	Protein	Q16531	abs	1058	1062
11564863	DDB1	Protein	Q16531	abs	1226	1230
11564863	p127	Protein	Q16531	abs	1232	1236
18182439	GMAP210	Protein	Q15643	abs	582	589
11564863	spliceosome-associated protein 130	Protein	Q15393	abs	1010	1044
8035792	DB1	Protein	Q14119	abs	435	438
8035792	DB1	Protein	Q14119	abs	512	515
8035792	DB1	Protein	Q14119	abs	728	731
8035792	DB1	Protein	Q14119	abs	846	849
8035792	DB1	Protein	Q14119	abs	1122	1125
8035792	DB1	Protein	Q14119	abs	1397	1400
9290212	Ty1B	Protein	Q12490	abs	1365	1369
18182439	Rud3p	Protein	Q12234	abs	566	571
22899009	Usb1	Protein	Q12208	abs	594	598
22899009	Usb1	Protein	Q12208	abs	778	782
11564863	ADA1	Protein	Q12060	abs	816	820
23169667	Ypq1-3	Protein	Q12010, Q06328, P38279	abs	1211	1217
11481323	p300	Protein	Q09472	abs	844	848
9613572	alpha-galactosidase	Protein	Q09187	abs	584	603
9613572	alpha-galactosidase	Protein	Q09187	abs	870	889
11565753	dbp9	Protein	Q06218	abs	1009	1013
11565753	Dbp9p	Protein	Q06218	title	0	5
11565753	Dbp9p	Protein	Q06218	abs	545	550
11565753	Dbp9p	Protein	Q06218	abs	883	888
11565753	Dbp9p	Protein	Q06218	abs	938	943
11565753	Dbp9p	Protein	Q06218	abs	1078	1083
11565753	Dbp9p	Protein	Q06218	abs	1216	1221
12697820	sfh1	Protein	Q06168	abs	859	863
18769150	Vps38p	Protein	Q05919	abs	618	624
17289661	eIF4G	Protein	Q04637	abs	877	882
18769150	Atg21	Protein	Q02887	title	51	56
18769150	Atg21p	Protein	Q02887	abs	11	17
18769150	Atg21p	Protein	Q02887	abs	158	164
18769150	Atg21p	Protein	Q02887	abs	475	481
18769150	Atg21p	Protein	Q02887	abs	769	775
18769150	Atg21p	Protein	Q02887	abs	954	960
205532	cytochrome oxidase	Protein	Protein	abs	565	583
7689721	p57	Protein	Protein	abs	577	580
7689721	p58	Protein	Protein	abs	573	576
7689721	p58	Protein	Protein	abs	972	975
7689721	p58-57	Protein	Protein	abs	891	897
7689721	p74	Protein	Protein	abs	568	571
7689721	p74	Protein	Protein	abs	886	889
7689721	p85	Protein	Protein	abs	558	561
7689721	p85	Protein	Protein	abs	873	876
9613572	HA	Protein	Protein	abs	625	627
9613572	hemagglutinin	Protein	Protein	abs	610	623
11564863	ADA	Protein	Protein	abs	183	186
11564863	GCN5L	Protein	Protein	abs	282	287
11564863	GCN5L	Protein	Protein	abs	451	456
11564863	SPT	Protein	Protein	abs	179	182
11564863	TAF(II)	Protein	Protein	abs	396	403
12167088	Bruton's tyrosine kinase	Protein	Protein	abs	248	272
12167088	Btk	Protein	Protein	abs	274	277
12167088	Btk	Protein	Protein	abs	1153	1156
12167088	c-Jun	Protein	Protein	abs	465	470
12167088	c-Jun	Protein	Protein	abs	738	743
12612081	Akt	Protein	Protein	abs	991	994
12612081	insulin	Protein	Protein	abs	386	393
12612081	insulin	Protein	Protein	abs	589	596
12612081	insulin	Protein	Protein	abs	911	918
12612081	insulin	Protein	Protein	abs	1156	1163
12612081	insulin	Protein	Protein	abs	1322	1329
12682047	Deltatgl3	Protein	Protein	abs	796	805
16455656	BolA	Protein	Protein	abs	395	399
16455656	SufE	Protein	Protein	abs	266	270
16455656	SufE	Protein	Protein	abs	361	365
16455656	SufS	Protein	Protein	abs	244	248
16731587	brefeldin A	Protein	Protein	abs	793	804
16731587	staurosporine	Protein	Protein	abs	809	822
16788062	ACS	Protein	Protein	abs	635	638
17202255	CAO	Protein	Protein	abs	443	446
17202255	cao	Protein	Protein	abs	642	645
17202255	cao	Protein	Protein	abs	789	792
17202255	CAO	Protein	Protein	abs	894	897
17202255	chlorophyllide a oxygenase	Protein	Protein	abs	415	441
17202255	OEP16	Protein	Protein	abs	526	531
17202255	oep16	Protein	Protein	abs	649	654
17202255	oep16	Protein	Protein	abs	797	802
17202255	OEP16	Protein	Protein	abs	902	907
17202255	PORA	Protein	Protein	abs	153	157
17202255	PORA	Protein	Protein	abs	819	823
17202255	prePORA	Protein	Protein	abs	290	297
17202255	prePORA	Protein	Protein	abs	602	609
17202255	prePORA	Protein	Protein	abs	993	1000
17202255	protochlorophyllide oxidoreductase A	Protein	Protein	abs	115	151
18182439	Rab6	Protein	Protein	abs	1181	1185
18769150	RFP	Protein	Protein	abs	385	388
18769150	RFP	Protein	Protein	abs	396	399
19403692	alpha6beta4 integrin	Protein	Protein	abs	0	20
19403692	bullous pemphigoid antigen 1e	Protein	Protein	abs	245	274
19403692	Rac1	Protein	Protein	title	85	89
19403692	Rac1	Protein	Protein	abs	119	123
19403692	Rac1	Protein	Protein	abs	312	316
19403692	Rac1	Protein	Protein	abs	605	609
19403692	Rac1	Protein	Protein	abs	667	671
19403692	Rac1	Protein	Protein	abs	964	968
19403692	Rac1	Protein	Protein	abs	1133	1137
20023648	53BP1	Protein	Protein	abs	1113	1118
20142502	cadherin 23	Protein	Protein	abs	445	456
20142502	CDH23	Protein	Protein	abs	458	463
20142502	harmonin	Protein	Protein	title	21	29
20142502	Harmonin	Protein	Protein	abs	304	312
20142502	Harmonin	Protein	Protein	abs	394	402
20142502	harmonin	Protein	Protein	abs	539	547
20142502	harmonin	Protein	Protein	abs	641	649
20142502	harmonin	Protein	Protein	abs	730	738
20142502	harmonin	Protein	Protein	abs	952	960
20142502	harmonin	Protein	Protein	abs	1143	1151
20142502	harmonin	Protein	Protein	abs	1236	1244
20142502	PCDH15	Protein	Protein	abs	487	493
20142502	protocadherin 15	Protein	Protein	abs	469	485
20142502	sans	Protein	Protein	title	30	34
20142502	Sans	Protein	Protein	abs	323	327
20142502	Sans	Protein	Protein	abs	552	556
20142502	Sans	Protein	Protein	abs	654	658
20142502	Sans	Protein	Protein	abs	864	868
20142502	Sans	Protein	Protein	abs	905	909
20142502	Sans	Protein	Protein	abs	1156	1160
20142502	Sans	Protein	Protein	abs	1249	1253
20142502	USH1C	Protein	Protein	abs	313	318
20142502	USH1G	Protein	Protein	abs	328	333
20427278	prion	Protein	Protein	abs	863	868
21282530	BMI1	Protein	Protein	abs	619	623
21282530	BMI1	Protein	Protein	abs	1626	1630
21282530	Ph	Protein	Protein	abs	465	467
21282530	Polyhomeotic	Protein	Protein	abs	451	463
21282530	RING1	Protein	Protein	abs	598	603
21282530	RING1	Protein	Protein	abs	1682	1687
21282530	RNF2	Protein	Protein	abs	604	608
21282530	RNF2	Protein	Protein	abs	1688	1692
20071603	phot2	Protein	P93025	abs	92	97
20071603	phot2	Protein	P93025	abs	1075	1080
20071603	phot2	Protein	P93025	abs	1176	1181
20071603	phot2	Protein	P93025	abs	1286	1291
18182439	TMF	Protein	P82094	abs	640	643
16443219	SUMO-1	Protein	P63165	title	35	41
16443219	SUMO-1	Protein	P63165	abs	702	708
16443219	SUMO-1	Protein	P63165	abs	992	998
9613572	laminarinase	Protein	P53753	abs	1145	1157
11565753	dbp6	Protein	P53734	abs	982	986
11565753	dbp6	Protein	P53734	abs	1004	1008
11565753	Dbp6p	Protein	P53734	title	119	124
11565753	Dbp6p	Protein	P53734	abs	1068	1073
11565753	Dbp6p	Protein	P53734	abs	1206	1211
17882260	shy1	Protein	P53266	abs	572	576
17882260	Shy1	Protein	P53266	abs	638	642
17882260	Shy1	Protein	P53266	abs	816	820
17882260	Shy1	Protein	P53266	abs	974	978
19054390	Erv14p	Protein	P53173	abs	899	905
18769150	Ygr223c	Protein	P50079	title	61	68
18769150	YGR223c	Protein	P50079	abs	1113	1120
18769150	Ygr223cp	Protein	P50079	abs	229	237
18769150	Ygr223cp	Protein	P50079	abs	326	334
18769150	Ygr223cp	Protein	P50079	abs	486	494
18769150	Ygr223cp	Protein	P50079	abs	780	788
18769150	Ygr223cp	Protein	P50079	abs	966	974
18769150	Ygr223cp	Protein	P50079	abs	1322	1330
7542657	Centromere protein-F	Protein	P49454	abs	0	20
19054390	Sec16p	Protein	P48415	abs	700	706
17882260	Cox1	Protein	P48237	title	52	56
17882260	Cox1	Protein	P48237	abs	429	433
17882260	Cox1	Protein	P48237	abs	705	709
17882260	Cox1	Protein	P48237	abs	744	748
17882260	Cox1	Protein	P48237	abs	897	901
15143214	Syk	Protein	P48025	abs	532	535
18182439	Sgm1p	Protein	P47166	abs	624	629
9290212	ALG2	Protein	P43636	abs	525	529
18769150	Atg18	Protein	P43601	title	44	49
18769150	Atg18p	Protein	P43601	abs	0	6
18769150	Atg18p	Protein	P43601	abs	70	76
18769150	Atg18p	Protein	P43601	abs	467	473
18769150	Atg18p	Protein	P43601	abs	761	767
18769150	Atg18p	Protein	P43601	abs	945	951
15143214	ZAP-70	Protein	P43404	abs	525	531
12023506	PGF(2alpha)	Protein	P43088	abs	570	581
12023506	PGF(2alpha)	Protein	P43088	abs	845	856
12023506	PGF(2alpha)	Protein	P43088	abs	1391	1402
12023506	prostaglandin F(2alpha)	Protein	P43088	abs	545	568
9290212	SER2	Protein	P42941	abs	735	739
17882260	coa1	Protein	P40452	abs	262	266
17882260	coa1	Protein	P40452	abs	344	348
17882260	coa1	Protein	P40452	abs	558	562
17882260	coa1	Protein	P40452	abs	980	984
205532	acetylglutamate synthase	Protein	P40360	abs	315	339
18769150	Snf7	Protein	P39929	abs	380	384
17882260	Cox14	Protein	P39103	abs	825	830
17882260	Cox14	Protein	P39103	abs	917	922
21937712	Tem1	Protein	P38987	title	17	21
21937712	Tem1	Protein	P38987	abs	265	269
21937712	Tem1	Protein	P38987	abs	435	439
21937712	Tem1	Protein	P38987	abs	543	547
21937712	Tem1	Protein	P38987	abs	613	617
21937712	Tem1	Protein	P38987	abs	906	910
21937712	Tem1	Protein	P38987	abs	988	992
21937712	Tem1	Protein	P38987	abs	1016	1020
20829347	peroxisome proliferator-activated receptor gamma	Protein	P37231	title	121	169
20829347	peroxisome proliferator-activated receptor ?	Protein	P37231	abs	741	785
20829347	PPAR?	Protein	P37231	abs	787	792
20829347	PPAR?	Protein	P37231	abs	895	900
20829347	PPAR?	Protein	P37231	abs	953	958
20829347	PPAR?	Protein	P37231	abs	1047	1052
20829347	PPAR?	Protein	P37231	abs	1102	1107
20829347	PPAR?	Protein	P37231	abs	1273	1278
20829347	PPAR?	Protein	P37231	abs	1450	1455
21282530	Posterior sex combs	Protein	P35820	abs	474	493
21282530	Psc	Protein	P35820	abs	495	498
17882260	MDJ1	Protein	P35191	abs	394	398
11564863	SPT7	Protein	P35177	abs	807	811
15775980	MET1	Protein	P34881	abs	1158	1162
9290212	KRE11	Protein	P32893	abs	683	688
11502169	D- and L-lactate-dehydrogenases	Protein	P32891, P00175	abs	527	558
12697820	sth1	Protein	P32597	abs	850	854
21937712	Cdc5	Protein	P32562	abs	581	585
21937712	Cdc5	Protein	P32562	abs	622	626
21937712	Cdc5	Protein	P32562	abs	865	869
21937712	Cdc5	Protein	P32562	abs	979	983
9613572	phosphatidylinositol-specific phospholipase C	Protein	P32383	abs	1010	1055
9613572	PI-PLC	Protein	P32383	abs	1057	1063
17882260	Mss51	Protein	P32335	title	15	20
17882260	MSS51	Protein	P32335	abs	387	392
17882260	Mss51	Protein	P32335	abs	410	415
17882260	Mss51	Protein	P32335	abs	605	610
17882260	Mss51	Protein	P32335	abs	809	814
17882260	Mss51	Protein	P32335	abs	911	916
9290212	MSB2	Protein	P32334	abs	604	608
18769150	CPY	Protein	P32319	abs	1193	1196
18769150	CPY	Protein	P32319	abs	1248	1251
12612081	PKB	Protein	P31750	abs	987	990
21282530	Pc	Protein	P26017	abs	423	425
23150645	RibD	Protein	P25539	abs	247	251
23150645	RibD	Protein	P25539	abs	359	363
23150645	ribD	Protein	P25539	abs	1139	1143
18182439	Uso1p	Protein	P25386	abs	663	668
14701804	mdm2	Protein	P23804	abs	394	398
12417726	peroxisome proliferator-activated receptor alpha	Protein	P23204	title	107	155
12417726	peroxisome proliferator-activated receptor alpha	Protein	P23204	abs	696	744
12417726	PPARalpha	Protein	P23204	abs	746	755
12417726	PPARalpha	Protein	P23204	abs	823	832
205532	argininosuccinate synthetase	Protein	P22768	abs	862	890
18769150	Vps34	Protein	P22543	abs	590	595
18769150	Vps34	Protein	P22543	abs	657	662
18769150	Vps34	Protein	P22543	abs	689	694
17882260	COX10	Protein	P21592	abs	403	408
17882260	Cox10	Protein	P21592	abs	470	475
17882260	Cox10	Protein	P21592	abs	615	620
12697820	Snf5p	Protein	P18480	abs	440	445
8035792	EGR1	Protein	P18146	abs	393	397
8035792	EGR1	Protein	P18146	abs	776	780
8035792	EGR1	Protein	P18146	abs	978	982
8035792	EGR1	Protein	P18146	abs	1268	1272
8035792	EGR1	Protein	P18146	abs	1330	1334
15606766	insulysin	Protein	P14735	abs	638	647
9290212	KSS1	Protein	P14681	abs	617	621
19054390	Sec12p	Protein	P11655	abs	689	695
8035792	EGR2	Protein	P11161	abs	402	406
8035792	EGR2	Protein	P11161	abs	987	991
8035792	EGR2	Protein	P11161	abs	1277	1281
20829347	IL-8	Protein	P10145	abs	567	571
20829347	IL-8	Protein	P10145	abs	676	680
20829347	IL-8	Protein	P10145	abs	813	817
20829347	IL-8	Protein	P10145	abs	1206	1210
20829347	interleukin-8	Protein	P10145	abs	552	565
8035792	IL-3	Protein	P08700	abs	98	102
8035792	IL-3	Protein	P08700	abs	928	932
8035792	IL-3	Protein	P08700	abs	1002	1006
8035792	IL-3	Protein	P08700	abs	1204	1208
8035792	IL-3	Protein	P08700	abs	1380	1384
8035792	IL-3	Protein	P08700	abs	1486	1490
8035792	interleukin-3	Protein	P08700	title	89	102
8035792	interleukin-3	Protein	P08700	abs	83	96
205532	ornithine aminotransferase	Protein	P07991	abs	971	997
205532	arginine pathway-specific carbamoylphosphate synthetase	Protein	P07258	abs	773	828
17289661	eIF4E	Protein	P06730	abs	870	875
205532	ornithine carbamoyltransferase	Protein	P05150	abs	830	860
205532	argininosuccinate lyase	Protein	P04076	abs	896	919
11481323	ERalpha	Protein	P03372	abs	622	629
11481323	ERalpha	Protein	P03372	abs	785	792
11481323	ERalpha	Protein	P03372	abs	1359	1366
11481323	estrogen receptor alpha	Protein	P03372	title	78	101
11481323	estrogen receptor alpha	Protein	P03372	abs	597	620
9290212	CYH2	Protein	P02406	abs	516	520
14701804	p53	Protein	P02340	abs	135	138
14701804	p53	Protein	P02340	abs	184	187
14701804	p53	Protein	P02340	abs	288	291
14701804	p53	Protein	P02340	abs	312	315
205532	arginase	Protein	P00812	abs	958	966
20071603	PKS4	Protein	O65554	abs	481	485
20071603	PKS4	Protein	O65554	abs	794	798
16731587	PIDox	Protein	O64682	abs	404	409
16731587	PIDox	Protein	O64682	abs	557	562
16731587	PIDox	Protein	O64682	abs	978	983
16731587	PIDox	Protein	O64682	abs	1179	1184
18182439	p115	Protein	O60763	abs	679	683
20071603	phot1	Protein	O48963	abs	82	87
20071603	phot1	Protein	O48963	abs	504	509
20071603	phot1	Protein	O48963	abs	570	575
20071603	phot1	Protein	O48963	abs	672	677
20071603	phot1	Protein	O48963	abs	1039	1044
20071603	phot1	Protein	O48963	abs	1166	1171
20071603	phot1	Protein	O48963	abs	1276	1281
15606766	nardilysin	Protein	O43847	abs	649	659
23543752	AP-1 ? adaptin	Protein	O22715	title	4	18
23543752	ap1m2	Protein	O22715	abs	682	687
23543752	ap1m2	Protein	O22715	abs	937	942
15072822	B10	Protein	O14638	title	130	133
15072822	CD203c	Protein	O14638	title	114	120
15072822	gp130(RB13-6)	Protein	O14638	title	134	147
15072822	PD-Ibeta	Protein	O14638	title	121	129
23150645	GRMZM2G090068	Protein	K7WIZ6	abs	1078	1091
15342390	hypoxia-inducible factor-1alpha	Protein	Protein	abs	637	668
15342390	hypoxia-inducible factor-1alpha	Protein	Protein	abs	1740	1771
15342390	p300	Protein	Protein	abs	610	614
15486337	BRL1	Protein	Q9ZWC8	title	0	4
15486337	BRL1	Protein	Q9ZWC8	abs	226	230
15486337	BRL1	Protein	Q9ZWC8	abs	247	251
15486337	BRL1	Protein	Q9ZWC8	abs	390	394
15486337	BRL1	Protein	Q9ZWC8	abs	556	560
15486337	BRL2	Protein	Q9ZPS9	abs	232	236
15486337	BRL2	Protein	Q9ZPS9	abs	270	274
12417726	PEX11alpha	Protein	Q9Z211	title	0	10
12417726	PEX11alpha	Protein	Q9Z211	abs	212	222
12417726	PEX11alpha	Protein	Q9Z211	abs	247	257
12417726	PEX11alpha	Protein	Q9Z211	abs	402	412
12417726	PEX11alpha	Protein	Q9Z211	abs	538	548
12417726	PEX11alpha	Protein	Q9Z211	abs	579	589
12417726	PEX11alpha	Protein	Q9Z211	abs	860	870
12417726	PEX11alpha	Protein	Q9Z211	abs	942	952
15788404	NPP4	Protein	Q9Y6X5	abs	917	921
10095065	hCLCA3	Protein	Q9Y6N3	abs	301	307
10095065	hCLCA3	Protein	Q9Y6N3	abs	736	742
10095065	hCLCA3	Protein	Q9Y6N3	abs	1037	1043
16595633	SNCAIP	Protein	Q9Y6H5	abs	513	519
12023506	organic anion transporter 2	Protein	Q9Y694	abs	311	338
12023506	hOAT2	Protein	Q9Y694	abs	340	345
12023506	hOAT2	Protein	Q9Y694	abs	401	406
12023506	hOAT2	Protein	Q9Y694	abs	482	487
12023506	hOAT2	Protein	Q9Y694	abs	830	835
12023506	hOAT2	Protein	Q9Y694	abs	1089	1094
12023506	hOAT2	Protein	Q9Y694	abs	1376	1381
10095065	hCLCA2	Protein	Q9UQC9	abs	162	168
14602072	Vps4	Protein	Q9UN37	abs	542	546
14602072	Vps4	Protein	Q9UN37	abs	673	677
12482924	BP180	Protein	Q9UMD9	title	37	42
12482924	bullous pemphigoid antigen (BP) 180	Protein	Q9UMD9	abs	395	430
12482924	BP180	Protein	Q9UMD9	abs	656	661
12482924	BP180	Protein	Q9UMD9	abs	708	713
12482924	BP180	Protein	Q9UMD9	abs	771	776
12482924	BP180	Protein	Q9UMD9	abs	1189	1194
18663142	TPX2	Protein	Q9ULW0	title	89	93
18663142	Aurora A kinase activator	Protein	Q9ULW0	abs	245	270
